Year,Mean_m3_P,Mean_m3_Fe,Mean_m3_Al,Mean_wEX_P,Mean_wEX_NH3,Mean_Wex_Nox,Mean_PH
2021,28.07766034,525.6435685,788.0594798,0.525,0.659,6.85,6.9
2022,30.9,816.65,303.2525,0.69625,3.308,6.933,7.2341
2023,26.1,323.75,846.25,1.0635,1.92,7.799,8.092
