Year,TN,TP,disNH4,disNO3,disPO4,TDN,TDP
2023,1.53,0.46,0,0.1194,0.1673,0,0
2021,2.965,0.128,0,0,0,0,0
2022,0.74,0.088,0,0.1422,0,0,0
2023,0.84,0.14,0,0.136,0.0334,0,0
2021,1.953,0.159,0,0.0564,0,0,0
2022,0.81,0.065,0,0.1138,0,0,0
2022,0.559,0.052,0,0.1294,0,0,0
2022,1.097,0.09,0.0103,0.037,0,0,0
2022,4.469,0.437,0,0.0709,0.0135,0,0
2022,3.300922,0.507,0,0,0,0,0
2022,12.95108,1.503,0,0,0.0161,0,0
2023,0.99,0.05,0,0.1192,0,0,0
2023,3.64,0.43,1.1857,0.1887,0,0,0
2022,0.455,0.065,0,0.1248,0,0,0
2022,0.638,0.044,0,0.0553,0,0,0
2022,2.854,0.102,0.031,0.0505,0,0,0
2022,1.967646,0.13,0,0,0,0,0
2023,2.37,0.39,0.0261,0.1997,0.0433,0,0
2021,0.833,0.072,0.075,0,0,0.781,0.022
2021,1.613,0.08,0,0.681067,0,0,0
2022,0.78,0.085,0.0194,0.0673,0.0127,0,0
2022,6.487,0.884,0.0308,0.0943,0.0264,0,0
2021,2.712,0.157,0,0.0616,0,0,0
2022,0.589,0.034,0,0.0604,0,0,0
2022,3.085,0.286,0.067,0.0629,0.0228,0,0
2021,1.858,0.157,0,0.0278,0,0,0
2022,0.815,0.043,0,0.0547,0,0,0
2022,0.691,0.073,0.011,0.052,0,0,0
2021,0.8,0.108,0.122,0.01,0.169,0.692,0.064
2021,1.176,0.084,0,0.164269,0,0,0
2021,1.789,0.077,0,0.0629,0,0,0
2022,0.484,0.093,0,0.1161,0.016,0,0
2022,2.537,0.07,0,0,0,0,0
2022,1.213434,0.04,0.3864,0,0,0,0
2022,1.160394,0.077,0.0557,0,0.0196,0,0
2022,2.23291,0.261,0,0.1614,0,0,0
2022,2.003361,0.168,0,0.174,0,0,0
2022,1.49,0.08,0.0307,0.1067,0,0,0
2022,1.51,0.09,0.0324,0,0,0,0
2023,0.79,0.09,0,0.1128,0,0,0
2023,1.12,0.06,0,0,0,0,0
2023,0,0,0,0,0,0,0
2021,0.124,0.078,0,0.0246,0,0,0
2022,0.723,0.074,0,0.0644,0,0,0
2022,2.587,0.083,0,0,0,0,0
2022,0.911942,0.029,0,0,0,0,0
2022,1.896164,0.183,0,0,0.0145,0,0
2022,5.231225,0.642,0,0.1811,0,0,0
2022,4.73,0.38,0.6717,0,0,0,0
2023,0.68,0.02,0,0.1203,0,0,0
2023,1.55,0.1,0,0.2136,0,0,0
2021,1.004,0.054,0,0.166595,0,0,0
2021,1.003,1.049,0,0.0547,0.9025,0,0
2022,1.665,0.329,0,0.0423,0.0234,0,0
2022,0,0,0,0.0204,0,0,0
2022,0,0,0,0.0126,0,0,0
2022,0.12,0,0,0,0,0,0
2022,0.17,0,0,0,0,0,0
2022,0,0,0,0.157,0,0,0
2022,0,0,0,0,0,0,0
2022,0,0,0,0.1019,0,0,0
2022,0,0,0.0356,0.0913,0,0,0
2022,0,0,0,0,0,0,0
2023,0,0,0,0.13373109,0,0,0
2023,0,0,0,0,0,0,0
2023,0,0,0,0.1097,0,0,0
2023,0,0,0,0.0714,0,0,0
2023,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0
2021,0.875,0.216,0,0.0938,0.0614,0,0
2022,0.734,0.055,0,0.0445,0,0,0
2022,2.385,0.089,0,0.0582,0,0,0
2022,1.837988,0.071,0,0,0,0,0
2022,1.5,0.126,0,0,0,0,0
2021,0.724,0.036,0.058,0,0,1.142,0.027
2021,0.941,0.042,0,0.158405,0,0,0
2021,0.704,0.232,0,0.0741,0.1558,0,0
2022,0.731,0.054,0,0.0433,0,0,0
2022,5.18,0.456,0.045,0.0539,0,0,0
2023,1.96,0.25,0,0.4992,0,0,0
2021,0.744,0.292,0,0.0592,0.2369,0,0
2022,4.193,0.162,0,0.0579,0.0112,0,0
2021,3.365,0.598,0.138,0,0.133,2.233,0.249
2021,0.794,0.077,0,0.0721,0.0269,0,0
2022,0.704,0.067,0,0.0758,0.0105,0,0
