Year,Mean_TP,Mean_TN,Mean_disNH4,Mean_disNO3,Mean_disPO4
2021,0.0455,0.0900824,0.0579,0.729910333,0.01255
2022,0.073,0.151,0.02855,0.052,0.1673
2023,0.055,0.0505,0.3066,0.62285,0.025
